,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
34,Aston Villa,Nottingham Forest,2–1,1992-93,Villa Park,City Ground,"52.5091264, -1.8850354312212985","52.93993865, -1.1328954461216225",43.41011531396345
35,Aston Villa,Oldham Athletic,0–1,1992-93,Villa Park,Boundary Park,"52.5091264, -1.8850354312212985","53.555117800000005, -2.128417592493478",73.038743522585
36,Aston Villa,Queens Park Rangers,2–0,1992-93,Villa Park,Loftus Road,"52.5091264, -1.8850354312212985","51.5420327, 0.0769485",107.10509112905511
37,Aston Villa,Sheffield United,3–1,1992-93,Villa Park,Bramall Lane,"52.5091264, -1.8850354312212985","53.3703478, -1.4697008060650654",62.02870517670841
38,Aston Villa,Sheffield Wednesday,2–0,1992-93,Villa Park,Hillsborough,"52.5091264, -1.8850354312212985","53.41137895, -1.500631103337827",64.42176269100105
39,Aston Villa,Southampton,1–1,1992-93,Villa Park,St Mary's Stadium,"52.5091264, -1.8850354312212985","50.90582665, -1.390881661218431",112.85697585520244
40,Aston Villa,Tottenham Hotspur,0–0,1992-93,Villa Park,Tottenham Hotspur Stadium,"52.5091264, -1.8850354312212985","51.604157, -0.0662604100000004",99.61289281044768
41,Aston Villa,Wimbledon,1–0,1992-93,Villa Park,Selhurst Park,"52.5091264, -1.8850354312212985","51.39824295, -0.085255058181276",108.66745620357412
42,Blackburn Rovers,Arsenal,1–0,1992-93,Ewood Park,Emirates Stadium,"53.728608949999995, -2.4892582964443477","51.55504035, -0.1083996708672374",180.57765799946446
43,Blackburn Rovers,Aston Villa,3–0,1992-93,Ewood Park,Villa Park,"53.728608949999995, -2.4892582964443477","52.5091264, -1.8850354312212985",87.9949044045809
44,Blackburn Rovers,Chelsea,2–0,1992-93,Ewood Park,Stamford Bridge,"53.728608949999995, -2.4892582964443477","51.481686499999995, -0.19103517666346065",183.0028672662288
45,Blackburn Rovers,Coventry City,2–5,1992-93,Ewood Park,Coventry Building Society Arena,"53.728608949999995, -2.4892582964443477","52.44816495, -1.4971183945757918",97.70189407229132
46,Blackburn Rovers,Crystal Palace,1–2,1992-93,Ewood Park,Selhurst Park,"53.728608949999995, -2.4892582964443477","51.39824295, -0.085255058181276",190.30309932661345
47,Blackburn Rovers,Everton,2–3,1992-93,Ewood Park,Goodison Park,"53.728608949999995, -2.4892582964443477","53.4387191, -2.9664539939087415",28.063349279657093
48,Blackburn Rovers,Ipswich Town,2–1,1992-93,Ewood Park,Portman Road,"53.728608949999995, -2.4892582964443477","52.0572985, 1.145841",190.92237811975107
49,Blackburn Rovers,Leeds United,3–1,1992-93,Ewood Park,Elland Road,"53.728608949999995, -2.4892582964443477","53.764161, -1.5832414",37.22244441482729
50,Blackburn Rovers,Liverpool,4–1,1992-93,Ewood Park,Anfield,"53.728608949999995, -2.4892582964443477","53.4308358, -2.9609095414165294",28.299620124746006
51,Blackburn Rovers,Manchester City,1–0,1992-93,Ewood Park,City of Manchester Stadium,"53.728608949999995, -2.4892582964443477","53.48309105, -2.2002520023433307",20.726747117272108
52,Blackburn Rovers,Manchester United,0–0,1992-93,Ewood Park,Old Trafford,"53.728608949999995, -2.4892582964443477","53.46310955, -2.2913864850545362",20.084811044044887
53,Blackburn Rovers,Middlesbrough,1–1,1992-93,Ewood Park,Riverside Stadium,"53.728608949999995, -2.4892582964443477","54.57831335, -1.2169383040174622",78.23867108974922
54,Blackburn Rovers,Norwich City,7–1,1992-93,Ewood Park,Carrow Road,"53.728608949999995, -2.4892582964443477","52.6219835, 1.3101317640023948",175.39726059884654
55,Blackburn Rovers,Nottingham Forest,4–1,1992-93,Ewood Park,City Ground,"53.728608949999995, -2.4892582964443477","52.93993865, -1.1328954461216225",78.27190435409484
56,Blackburn Rovers,Oldham Athletic,2–0,1992-93,Ewood Park,Boundary Park,"53.728608949999995, -2.4892582964443477","53.555117800000005, -2.128417592493478",19.07502449344166
57,Blackburn Rovers,Queens Park Rangers,1–0,1992-93,Ewood Park,Loftus Road,"53.728608949999995, -2.4892582964443477","51.5420327, 0.0769485",185.75103911512153
58,Blackburn Rovers,Sheffield United,1–0,1992-93,Ewood Park,Bramall Lane,"53.728608949999995, -2.4892582964443477","53.3703478, -1.4697008060650654",48.75486363279252
