,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
2968,Chelsea,Everton,1–1,1999-00,Stamford Bridge,Goodison Park,"51.481686499999995, -0.19103517666346065","53.4387191, -2.9664539939087415",179.00163581667778
2969,Chelsea,Leeds United,0–2,1999-00,Stamford Bridge,Elland Road,"51.481686499999995, -0.19103517666346065","53.764161, -1.5832414",168.3368262288748
2970,Chelsea,Leicester City,1–1,1999-00,Stamford Bridge,King Power Stadium,"51.481686499999995, -0.19103517666346065","52.62039695, -1.1423352051152724",88.55650934077272
2971,Chelsea,Liverpool,2–0,1999-00,Stamford Bridge,Anfield,"51.481686499999995, -0.19103517666346065","53.4308358, -2.9609095414165294",178.4434143984804
2972,Chelsea,Manchester United,5–0,1999-00,Stamford Bridge,Old Trafford,"51.481686499999995, -0.19103517666346065","53.46310955, -2.2913864850545362",163.18575881530475
2973,Chelsea,Middlesbrough,1–1,1999-00,Stamford Bridge,Riverside Stadium,"51.481686499999995, -0.19103517666346065","54.57831335, -1.2169383040174622",218.35564491143182
2974,Chelsea,Newcastle United,1–0,1999-00,Stamford Bridge,St James' Park,"51.481686499999995, -0.19103517666346065","54.9754693, -1.621873666214279",248.77902371019547
2975,Chelsea,Sheffield Wednesday,3–0,1999-00,Stamford Bridge,Hillsborough,"51.481686499999995, -0.19103517666346065","53.41137895, -1.500631103337827",144.43637338879628
2976,Chelsea,Southampton,1–1,1999-00,Stamford Bridge,St Mary's Stadium,"51.481686499999995, -0.19103517666346065","50.90582665, -1.390881661218431",65.5802634867851
2977,Chelsea,Sunderland,4–0,1999-00,Stamford Bridge,Stadium of Light,"51.481686499999995, -0.19103517666346065","54.914395299999995, -1.3882579326202478",242.52028830516423
2978,Chelsea,Tottenham Hotspur,1–0,1999-00,Stamford Bridge,Tottenham Hotspur Stadium,"51.481686499999995, -0.19103517666346065","51.604157, -0.0662604100000004",10.030791911167189
2979,Chelsea,Watford,2–1,1999-00,Stamford Bridge,Vicarage Road,"51.481686499999995, -0.19103517666346065","51.6501515, -0.4032259",14.806273150484031
2980,Chelsea,West Ham United,0–0,1999-00,Stamford Bridge,London Stadium,"51.481686499999995, -0.19103517666346065","51.53862065, -0.016623759002470637",8.49122971234757
2981,Chelsea,Wimbledon,3–1,1999-00,Stamford Bridge,Selhurst Park,"51.481686499999995, -0.19103517666346065","51.39824295, -0.085255058181276",7.359596703495562
2982,Coventry City,Arsenal,3–2,1999-00,Coventry Building Society Arena,Emirates Stadium,"52.44816495, -1.4971183945757918","51.55504035, -0.1083996708672374",85.5819757211837
2983,Coventry City,Aston Villa,2–1,1999-00,Coventry Building Society Arena,Villa Park,"52.44816495, -1.4971183945757918","52.5091264, -1.8850354312212985",16.910765630556863
2984,Coventry City,Bradford City,4–0,1999-00,Coventry Building Society Arena,Valley Parade,"52.44816495, -1.4971183945757918","53.804330449999995, -1.7593827869834464",94.41311454781119
2985,Coventry City,Chelsea,2–2,1999-00,Coventry Building Society Arena,Stamford Bridge,"52.44816495, -1.4971183945757918","51.481686499999995, -0.19103517666346065",87.03934059838708
2986,Coventry City,Derby County,2–0,1999-00,Coventry Building Society Arena,Pride Park Stadium,"52.44816495, -1.4971183945757918","52.9149454, -1.4473191031335255",32.34393568880321
2987,Coventry City,Everton,1–0,1999-00,Coventry Building Society Arena,Goodison Park,"52.44816495, -1.4971183945757918","53.4387191, -2.9664539939087415",91.96790469783642
2988,Coventry City,Leeds United,3–4,1999-00,Coventry Building Society Arena,Elland Road,"52.44816495, -1.4971183945757918","53.764161, -1.5832414",91.0733851350599
2989,Coventry City,Leicester City,0–1,1999-00,Coventry Building Society Arena,King Power Stadium,"52.44816495, -1.4971183945757918","52.62039695, -1.1423352051152724",19.120710352749633
2990,Coventry City,Liverpool,0–3,1999-00,Coventry Building Society Arena,Anfield,"52.44816495, -1.4971183945757918","53.4308358, -2.9609095414165294",91.41131000804616
2991,Coventry City,Manchester United,1–2,1999-00,Coventry Building Society Arena,Old Trafford,"52.44816495, -1.4971183945757918","53.46310955, -2.2913864850545362",77.62480229477733
2992,Coventry City,Middlesbrough,2–1,1999-00,Coventry Building Society Arena,Riverside Stadium,"52.44816495, -1.4971183945757918","54.57831335, -1.2169383040174622",147.76434149094953
2993,Coventry City,Newcastle United,4–1,1999-00,Coventry Building Society Arena,St James' Park,"52.44816495, -1.4971183945757918","54.9754693, -1.621873666214279",174.8590411739793
2994,Coventry City,Sheffield Wednesday,4–1,1999-00,Coventry Building Society Arena,Hillsborough,"52.44816495, -1.4971183945757918","53.41137895, -1.500631103337827",66.60569299159363
2995,Coventry City,Southampton,0–1,1999-00,Coventry Building Society Arena,St Mary's Stadium,"52.44816495, -1.4971183945757918","50.90582665, -1.390881661218431",106.72647641065437
2996,Coventry City,Sunderland,3–2,1999-00,Coventry Building Society Arena,Stadium of Light,"52.44816495, -1.4971183945757918","54.914395299999995, -1.3882579326202478",170.61803767269
2997,Coventry City,Tottenham Hotspur,0–1,1999-00,Coventry Building Society Arena,Tottenham Hotspur Stadium,"52.44816495, -1.4971183945757918","51.604157, -0.0662604100000004",84.43188004300724
2998,Coventry City,Watford,4–0,1999-00,Coventry Building Society Arena,Vicarage Road,"52.44816495, -1.4971183945757918","51.6501515, -0.4032259",72.237608917591
2999,Coventry City,West Ham United,1–0,1999-00,Coventry Building Society Arena,London Stadium,"52.44816495, -1.4971183945757918","51.53862065, -0.016623759002470637",89.14379388540615
3000,Coventry City,Wimbledon,2–0,1999-00,Coventry Building Society Arena,Selhurst Park,"52.44816495, -1.4971183945757918","51.39824295, -0.085255058181276",94.39807814675396
3001,Derby County,Arsenal,1–2,1999-00,Pride Park Stadium,Emirates Stadium,"52.9149454, -1.4473191031335255","51.55504035, -0.1083996708672374",109.86504280488403
3002,Derby County,Aston Villa,0–2,1999-00,Pride Park Stadium,Villa Park,"52.9149454, -1.4473191031335255","52.5091264, -1.8850354312212985",33.54539213467645
3003,Derby County,Bradford City,0–1,1999-00,Pride Park Stadium,Valley Parade,"52.9149454, -1.4473191031335255","53.804330449999995, -1.7593827869834464",62.84491753435532
3004,Derby County,Chelsea,3–1,1999-00,Pride Park Stadium,Stamford Bridge,"52.9149454, -1.4473191031335255","51.481686499999995, -0.19103517666346065",112.55195700016397
3005,Derby County,Coventry City,0–0,1999-00,Pride Park Stadium,Coventry Building Society Arena,"52.9149454, -1.4473191031335255","52.44816495, -1.4971183945757918",32.34393568880321
3006,Derby County,Everton,1–0,1999-00,Pride Park Stadium,Goodison Park,"52.9149454, -1.4473191031335255","53.4387191, -2.9664539939087415",72.76700489105215
3007,Derby County,Leeds United,0–1,1999-00,Pride Park Stadium,Elland Road,"52.9149454, -1.4473191031335255","53.764161, -1.5832414",58.9955025958322
3008,Derby County,Leicester City,3–0,1999-00,Pride Park Stadium,King Power Stadium,"52.9149454, -1.4473191031335255","52.62039695, -1.1423352051152724",24.050743922675792
3009,Derby County,Liverpool,0–2,1999-00,Pride Park Stadium,Anfield,"52.9149454, -1.4473191031335255","53.4308358, -2.9609095414165294",72.3018075205221
3010,Derby County,Manchester United,1–2,1999-00,Pride Park Stadium,Old Trafford,"52.9149454, -1.4473191031335255","53.46310955, -2.2913864850545362",51.63256787800568
3011,Derby County,Middlesbrough,1–3,1999-00,Pride Park Stadium,Riverside Stadium,"52.9149454, -1.4473191031335255","54.57831335, -1.2169383040174622",115.4233251822982
3012,Derby County,Newcastle United,0–0,1999-00,Pride Park Stadium,St James' Park,"52.9149454, -1.4473191031335255","54.9754693, -1.621873666214279",142.68574878238144
3013,Derby County,Sheffield Wednesday,3–3,1999-00,Pride Park Stadium,Hillsborough,"52.9149454, -1.4473191031335255","53.41137895, -1.500631103337827",34.40078874280598
3014,Derby County,Southampton,2–0,1999-00,Pride Park Stadium,St Mary's Stadium,"52.9149454, -1.4473191031335255","50.90582665, -1.390881661218431",138.92590037110247
3015,Derby County,Sunderland,0–5,1999-00,Pride Park Stadium,Stadium of Light,"52.9149454, -1.4473191031335255","54.914395299999995, -1.3882579326202478",138.30439101488358
3016,Derby County,Tottenham Hotspur,0–1,1999-00,Pride Park Stadium,Tottenham Hotspur Stadium,"52.9149454, -1.4473191031335255","51.604157, -0.0662604100000004",107.91694352414497
3017,Derby County,Watford,2–0,1999-00,Pride Park Stadium,Vicarage Road,"52.9149454, -1.4473191031335255","51.6501515, -0.4032259",98.01666184547463
3018,Derby County,West Ham United,1–2,1999-00,Pride Park Stadium,London Stadium,"52.9149454, -1.4473191031335255","51.53862065, -0.016623759002470637",112.89072177127099
3019,Derby County,Wimbledon,4–0,1999-00,Pride Park Stadium,Selhurst Park,"52.9149454, -1.4473191031335255","51.39824295, -0.085255058181276",119.79322770139534
3020,Everton,Arsenal,0–1,1999-00,Goodison Park,Emirates Stadium,"53.4387191, -2.9664539939087415","51.55504035, -0.1083996708672374",177.48527511167492
3021,Everton,Aston Villa,0–0,1999-00,Goodison Park,Villa Park,"53.4387191, -2.9664539939087415","52.5091264, -1.8850354312212985",78.54579020949772
3022,Everton,Bradford City,4–0,1999-00,Goodison Park,Valley Parade,"53.4387191, -2.9664539939087415","53.804330449999995, -1.7593827869834464",55.69816598053989
3023,Everton,Chelsea,1–1,1999-00,Goodison Park,Stamford Bridge,"53.4387191, -2.9664539939087415","51.481686499999995, -0.19103517666346065",179.00163581667778
3024,Everton,Coventry City,1–1,1999-00,Goodison Park,Coventry Building Society Arena,"53.4387191, -2.9664539939087415","52.44816495, -1.4971183945757918",91.96790469783642
3025,Everton,Derby County,2–1,1999-00,Goodison Park,Pride Park Stadium,"53.4387191, -2.9664539939087415","52.9149454, -1.4473191031335255",72.76700489105215
3026,Everton,Leeds United,4–4,1999-00,Goodison Park,Elland Road,"53.4387191, -2.9664539939087415","53.764161, -1.5832414",61.18693529240892
3027,Everton,Leicester City,2–2,1999-00,Goodison Park,King Power Stadium,"53.4387191, -2.9664539939087415","52.62039695, -1.1423352051152724",94.78418265155419
3028,Everton,Liverpool,0–0,1999-00,Goodison Park,Anfield,"53.4387191, -2.9664539939087415","53.4308358, -2.9609095414165294",0.591301805512045
3029,Everton,Manchester United,1–1,1999-00,Goodison Park,Old Trafford,"53.4387191, -2.9664539939087415","53.46310955, -2.2913864850545362",27.918500820070086
3030,Everton,Middlesbrough,0–2,1999-00,Goodison Park,Riverside Stadium,"53.4387191, -2.9664539939087415","54.57831335, -1.2169383040174622",106.25655540971366
3031,Everton,Newcastle United,0–2,1999-00,Goodison Park,St James' Park,"53.4387191, -2.9664539939087415","54.9754693, -1.621873666214279",119.44762936330277
3032,Everton,Sheffield Wednesday,1–1,1999-00,Goodison Park,Hillsborough,"53.4387191, -2.9664539939087415","53.41137895, -1.500631103337827",60.57615066209088
3033,Everton,Southampton,4–1,1999-00,Goodison Park,St Mary's Stadium,"53.4387191, -2.9664539939087415","50.90582665, -1.390881661218431",187.48422344566495
3034,Everton,Sunderland,5–0,1999-00,Goodison Park,Stadium of Light,"53.4387191, -2.9664539939087415","54.914395299999995, -1.3882579326202478",120.48065649188544
3035,Everton,Tottenham Hotspur,2–2,1999-00,Goodison Park,Tottenham Hotspur Stadium,"53.4387191, -2.9664539939087415","51.604157, -0.0662604100000004",176.19176657871688
3036,Everton,Watford,4–2,1999-00,Goodison Park,Vicarage Road,"53.4387191, -2.9664539939087415","51.6501515, -0.4032259",164.20296971449585
3037,Everton,West Ham United,1–0,1999-00,Goodison Park,London Stadium,"53.4387191, -2.9664539939087415","51.53862065, -0.016623759002470637",180.97541986832363
3038,Everton,Wimbledon,4–0,1999-00,Goodison Park,Selhurst Park,"53.4387191, -2.9664539939087415","51.39824295, -0.085255058181276",186.3591878597796
3039,Leeds United,Arsenal,0–4,1999-00,Elland Road,Emirates Stadium,"53.764161, -1.5832414","51.55504035, -0.1083996708672374",164.84908065713122
3040,Leeds United,Aston Villa,1–2,1999-00,Elland Road,Villa Park,"53.764161, -1.5832414","52.5091264, -1.8850354312212985",87.69024634432103
3041,Leeds United,Bradford City,2–1,1999-00,Elland Road,Valley Parade,"53.764161, -1.5832414","53.804330449999995, -1.7593827869834464",7.7306862389188735
3042,Leeds United,Chelsea,0–1,1999-00,Elland Road,Stamford Bridge,"53.764161, -1.5832414","51.481686499999995, -0.19103517666346065",168.3368262288748
3043,Leeds United,Coventry City,3–0,1999-00,Elland Road,Coventry Building Society Arena,"53.764161, -1.5832414","52.44816495, -1.4971183945757918",91.0733851350599
3044,Leeds United,Derby County,0–0,1999-00,Elland Road,Pride Park Stadium,"53.764161, -1.5832414","52.9149454, -1.4473191031335255",58.9955025958322
3045,Leeds United,Everton,1–1,1999-00,Elland Road,Goodison Park,"53.764161, -1.5832414","53.4387191, -2.9664539939087415",61.18693529240892
3046,Leeds United,Leicester City,2–1,1999-00,Elland Road,King Power Stadium,"53.764161, -1.5832414","52.62039695, -1.1423352051152724",81.18553792186245
3047,Leeds United,Liverpool,1–2,1999-00,Elland Road,Anfield,"53.764161, -1.5832414","53.4308358, -2.9609095414165294",61.18311478690026
3048,Leeds United,Manchester United,0–1,1999-00,Elland Road,Old Trafford,"53.764161, -1.5832414","53.46310955, -2.2913864850545362",35.79796851955973
3049,Leeds United,Middlesbrough,2–0,1999-00,Elland Road,Riverside Stadium,"53.764161, -1.5832414","54.57831335, -1.2169383040174622",58.23844780451322
3050,Leeds United,Newcastle United,3–2,1999-00,Elland Road,St James' Park,"53.764161, -1.5832414","54.9754693, -1.621873666214279",83.79585609394958
3051,Leeds United,Sheffield Wednesday,2–0,1999-00,Elland Road,Hillsborough,"53.764161, -1.5832414","53.41137895, -1.500631103337827",24.63299427338779
3052,Leeds United,Southampton,1–0,1999-00,Elland Road,St Mary's Stadium,"53.764161, -1.5832414","50.90582665, -1.390881661218431",197.79930406620412
3053,Leeds United,Sunderland,2–1,1999-00,Elland Road,Stadium of Light,"53.764161, -1.5832414","54.914395299999995, -1.3882579326202478",79.9459199689578
3054,Leeds United,Tottenham Hotspur,1–0,1999-00,Elland Road,Tottenham Hotspur Stadium,"53.764161, -1.5832414","51.604157, -0.0662604100000004",162.38114162946735
3055,Leeds United,Watford,3–1,1999-00,Elland Road,Vicarage Road,"53.764161, -1.5832414","51.6501515, -0.4032259",154.34362411634868
3056,Leeds United,West Ham United,1–0,1999-00,Elland Road,London Stadium,"53.764161, -1.5832414","51.53862065, -0.016623759002470637",167.38547025538273
3057,Leeds United,Wimbledon,4–1,1999-00,Elland Road,Selhurst Park,"53.764161, -1.5832414","51.39824295, -0.085255058181276",175.3270901268361
3058,Leicester City,Arsenal,0–3,1999-00,King Power Stadium,Emirates Stadium,"52.62039695, -1.1423352051152724","51.55504035, -0.1083996708672374",85.81581015501473
3059,Leicester City,Aston Villa,3–1,1999-00,King Power Stadium,Villa Park,"52.62039695, -1.1423352051152724","52.5091264, -1.8850354312212985",32.225737030874186
3060,Leicester City,Bradford City,3–0,1999-00,King Power Stadium,Valley Parade,"52.62039695, -1.1423352051152724","53.804330449999995, -1.7593827869834464",85.78463310219182
3061,Leicester City,Chelsea,2–2,1999-00,King Power Stadium,Stamford Bridge,"52.62039695, -1.1423352051152724","51.481686499999995, -0.19103517666346065",88.55650934077272
3062,Leicester City,Coventry City,1–0,1999-00,King Power Stadium,Coventry Building Society Arena,"52.62039695, -1.1423352051152724","52.44816495, -1.4971183945757918",19.120710352749633
3063,Leicester City,Derby County,0–1,1999-00,King Power Stadium,Pride Park Stadium,"52.62039695, -1.1423352051152724","52.9149454, -1.4473191031335255",24.050743922675792
3064,Leicester City,Everton,1–1,1999-00,King Power Stadium,Goodison Park,"52.62039695, -1.1423352051152724","53.4387191, -2.9664539939087415",94.78418265155419
3065,Leicester City,Leeds United,2–1,1999-00,King Power Stadium,Elland Road,"52.62039695, -1.1423352051152724","53.764161, -1.5832414",81.18553792186245
3066,Leicester City,Liverpool,2–2,1999-00,King Power Stadium,Anfield,"52.62039695, -1.1423352051152724","53.4308358, -2.9609095414165294",94.27940183314068
3067,Leicester City,Manchester United,0–2,1999-00,King Power Stadium,Old Trafford,"52.62039695, -1.1423352051152724","53.46310955, -2.2913864850545362",75.42479586269961
3068,Leicester City,Middlesbrough,2–1,1999-00,King Power Stadium,Riverside Stadium,"52.62039695, -1.1423352051152724","54.57831335, -1.2169383040174622",135.43848262385973
3069,Leicester City,Newcastle United,1–2,1999-00,King Power Stadium,St James' Park,"52.62039695, -1.1423352051152724","54.9754693, -1.621873666214279",164.05333688519048
3070,Leicester City,Sheffield Wednesday,3–0,1999-00,King Power Stadium,Hillsborough,"52.62039695, -1.1423352051152724","53.41137895, -1.500631103337827",56.7005119530115
3071,Leicester City,Southampton,2–1,1999-00,King Power Stadium,St Mary's Stadium,"52.62039695, -1.1423352051152724","50.90582665, -1.390881661218431",119.016076291141
3072,Leicester City,Sunderland,5–2,1999-00,King Power Stadium,Stadium of Light,"52.62039695, -1.1423352051152724","54.914395299999995, -1.3882579326202478",158.97001409831688
3073,Leicester City,Tottenham Hotspur,0–1,1999-00,King Power Stadium,Tottenham Hotspur Stadium,"52.62039695, -1.1423352051152724","51.604157, -0.0662604100000004",83.87276347959926
3074,Leicester City,Watford,1–0,1999-00,King Power Stadium,Vicarage Road,"52.62039695, -1.1423352051152724","51.6501515, -0.4032259",74.08635680946719
3075,Leicester City,West Ham United,1–3,1999-00,King Power Stadium,London Stadium,"52.62039695, -1.1423352051152724","51.53862065, -0.016623759002470637",88.84348317712092
3076,Leicester City,Wimbledon,2–1,1999-00,King Power Stadium,Selhurst Park,"52.62039695, -1.1423352051152724","51.39824295, -0.085255058181276",95.77834267408068
3077,Liverpool,Arsenal,2–0,1999-00,Anfield,Emirates Stadium,"53.4308358, -2.9609095414165294","51.55504035, -0.1083996708672374",176.93396001775898
3078,Liverpool,Aston Villa,0–0,1999-00,Anfield,Villa Park,"53.4308358, -2.9609095414165294","52.5091264, -1.8850354312212985",77.9691240039508
3079,Liverpool,Bradford City,3–1,1999-00,Anfield,Valley Parade,"53.4308358, -2.9609095414165294","53.804330449999995, -1.7593827869834464",55.74971201614634
3080,Liverpool,Chelsea,1–0,1999-00,Anfield,Stamford Bridge,"53.4308358, -2.9609095414165294","51.481686499999995, -0.19103517666346065",178.4434143984804
3081,Liverpool,Coventry City,2–0,1999-00,Anfield,Coventry Building Society Arena,"53.4308358, -2.9609095414165294","52.44816495, -1.4971183945757918",91.41131000804616
3082,Liverpool,Derby County,2–0,1999-00,Anfield,Pride Park Stadium,"53.4308358, -2.9609095414165294","52.9149454, -1.4473191031335255",72.3018075205221
3083,Liverpool,Everton,0–1,1999-00,Anfield,Goodison Park,"53.4308358, -2.9609095414165294","53.4387191, -2.9664539939087415",0.591301805512045
3084,Liverpool,Leeds United,3–1,1999-00,Anfield,Elland Road,"53.4308358, -2.9609095414165294","53.764161, -1.5832414",61.18311478690026
3085,Liverpool,Leicester City,0–2,1999-00,Anfield,King Power Stadium,"53.4308358, -2.9609095414165294","52.62039695, -1.1423352051152724",94.27940183314068
3086,Liverpool,Manchester United,2–3,1999-00,Anfield,Old Trafford,"53.4308358, -2.9609095414165294","53.46310955, -2.2913864850545362",27.731141521908608
3087,Liverpool,Middlesbrough,0–0,1999-00,Anfield,Riverside Stadium,"53.4308358, -2.9609095414165294","54.57831335, -1.2169383040174622",106.51522111985531
3088,Liverpool,Newcastle United,2–1,1999-00,Anfield,St James' Park,"53.4308358, -2.9609095414165294","54.9754693, -1.621873666214279",119.83332074626148
3089,Liverpool,Sheffield Wednesday,4–1,1999-00,Anfield,Hillsborough,"53.4308358, -2.9609095414165294","53.41137895, -1.500631103337827",60.33821373004979
3090,Liverpool,Southampton,0–0,1999-00,Anfield,St Mary's Stadium,"53.4308358, -2.9609095414165294","50.90582665, -1.390881661218431",186.89305817352593
3091,Liverpool,Sunderland,1–1,1999-00,Anfield,Stadium of Light,"53.4308358, -2.9609095414165294","54.914395299999995, -1.3882579326202478",120.8270704720017
3092,Liverpool,Tottenham Hotspur,2–0,1999-00,Anfield,Tottenham Hotspur Stadium,"53.4308358, -2.9609095414165294","51.604157, -0.0662604100000004",175.64496040805957
3093,Liverpool,Watford,0–1,1999-00,Anfield,Vicarage Road,"53.4308358, -2.9609095414165294","51.6501515, -0.4032259",163.64530099607313
3094,Liverpool,West Ham United,1–0,1999-00,Anfield,London Stadium,"53.4308358, -2.9609095414165294","51.53862065, -0.016623759002470637",180.42674916024833
3095,Liverpool,Wimbledon,3–1,1999-00,Anfield,Selhurst Park,"53.4308358, -2.9609095414165294","51.39824295, -0.085255058181276",185.8007769439956
3096,Manchester United,Arsenal,1–1,1999-00,Old Trafford,Emirates Stadium,"53.46310955, -2.2913864850545362","51.55504035, -0.1083996708672374",160.88072413971335
3097,Manchester United,Aston Villa,3–0,1999-00,Old Trafford,Villa Park,"53.46310955, -2.2913864850545362","52.5091264, -1.8850354312212985",68.1121370516169
3098,Manchester United,Bradford City,4–0,1999-00,Old Trafford,Valley Parade,"53.46310955, -2.2913864850545362","53.804330449999995, -1.7593827869834464",32.17194085623515
3099,Manchester United,Chelsea,3–2,1999-00,Old Trafford,Stamford Bridge,"53.46310955, -2.2913864850545362","51.481686499999995, -0.19103517666346065",163.18575881530475
3100,Manchester United,Coventry City,3–2,1999-00,Old Trafford,Coventry Building Society Arena,"53.46310955, -2.2913864850545362","52.44816495, -1.4971183945757918",77.62480229477733
3101,Manchester United,Derby County,3–1,1999-00,Old Trafford,Pride Park Stadium,"53.46310955, -2.2913864850545362","52.9149454, -1.4473191031335255",51.63256787800568
3102,Manchester United,Everton,5–1,1999-00,Old Trafford,Goodison Park,"53.46310955, -2.2913864850545362","53.4387191, -2.9664539939087415",27.918500820070086
3103,Manchester United,Leeds United,2–0,1999-00,Old Trafford,Elland Road,"53.46310955, -2.2913864850545362","53.764161, -1.5832414",35.79796851955973
3104,Manchester United,Leicester City,2–0,1999-00,Old Trafford,King Power Stadium,"53.46310955, -2.2913864850545362","52.62039695, -1.1423352051152724",75.42479586269961
3105,Manchester United,Liverpool,1–1,1999-00,Old Trafford,Anfield,"53.46310955, -2.2913864850545362","53.4308358, -2.9609095414165294",27.731141521908608
3106,Manchester United,Middlesbrough,1–0,1999-00,Old Trafford,Riverside Stadium,"53.46310955, -2.2913864850545362","54.57831335, -1.2169383040174622",88.67563501444776
3107,Manchester United,Newcastle United,5–1,1999-00,Old Trafford,St James' Park,"53.46310955, -2.2913864850545362","54.9754693, -1.621873666214279",108.06264935608701
3108,Manchester United,Sheffield Wednesday,4–0,1999-00,Old Trafford,Hillsborough,"53.46310955, -2.2913864850545362","53.41137895, -1.500631103337827",32.84903113466075
3109,Manchester United,Southampton,3–3,1999-00,Old Trafford,St Mary's Stadium,"53.46310955, -2.2913864850545362","50.90582665, -1.390881661218431",180.9020488221547
3110,Manchester United,Sunderland,4–0,1999-00,Old Trafford,Stadium of Light,"53.46310955, -2.2913864850545362","54.914395299999995, -1.3882579326202478",106.85003439125472
3111,Manchester United,Tottenham Hotspur,3–1,1999-00,Old Trafford,Tottenham Hotspur Stadium,"53.46310955, -2.2913864850545362","51.604157, -0.0662604100000004",159.11937083497463
3112,Manchester United,Watford,4–1,1999-00,Old Trafford,Vicarage Road,"53.46310955, -2.2913864850545362","51.6501515, -0.4032259",148.46752497768725
3113,Manchester United,West Ham United,7–1,1999-00,Old Trafford,London Stadium,"53.46310955, -2.2913864850545362","51.53862065, -0.016623759002470637",164.05613326163152
3114,Manchester United,Wimbledon,1–1,1999-00,Old Trafford,Selhurst Park,"53.46310955, -2.2913864850545362","51.39824295, -0.085255058181276",170.50224279249758
3115,Middlesbrough,Arsenal,2–1,1999-00,Riverside Stadium,Emirates Stadium,"54.57831335, -1.2169383040174622","51.55504035, -0.1083996708672374",214.09270489596466
3116,Middlesbrough,Aston Villa,0–4,1999-00,Riverside Stadium,Villa Park,"54.57831335, -1.2169383040174622","52.5091264, -1.8850354312212985",145.71786411235846
3117,Middlesbrough,Bradford City,0–1,1999-00,Riverside Stadium,Valley Parade,"54.57831335, -1.2169383040174622","53.804330449999995, -1.7593827869834464",57.87620221801408
3118,Middlesbrough,Chelsea,0–1,1999-00,Riverside Stadium,Stamford Bridge,"54.57831335, -1.2169383040174622","51.481686499999995, -0.19103517666346065",218.35564491143182
3119,Middlesbrough,Coventry City,2–0,1999-00,Riverside Stadium,Coventry Building Society Arena,"54.57831335, -1.2169383040174622","52.44816495, -1.4971183945757918",147.76434149094953
3120,Middlesbrough,Derby County,1–4,1999-00,Riverside Stadium,Pride Park Stadium,"54.57831335, -1.2169383040174622","52.9149454, -1.4473191031335255",115.4233251822982
3121,Middlesbrough,Everton,2–1,1999-00,Riverside Stadium,Goodison Park,"54.57831335, -1.2169383040174622","53.4387191, -2.9664539939087415",106.25655540971366
3122,Middlesbrough,Leeds United,0–0,1999-00,Riverside Stadium,Elland Road,"54.57831335, -1.2169383040174622","53.764161, -1.5832414",58.23844780451322
3123,Middlesbrough,Leicester City,0–3,1999-00,Riverside Stadium,King Power Stadium,"54.57831335, -1.2169383040174622","52.62039695, -1.1423352051152724",135.43848262385973
3124,Middlesbrough,Liverpool,1–0,1999-00,Riverside Stadium,Anfield,"54.57831335, -1.2169383040174622","53.4308358, -2.9609095414165294",106.51522111985531
3125,Middlesbrough,Manchester United,3–4,1999-00,Riverside Stadium,Old Trafford,"54.57831335, -1.2169383040174622","53.46310955, -2.2913864850545362",88.67563501444776
3126,Middlesbrough,Newcastle United,2–2,1999-00,Riverside Stadium,St James' Park,"54.57831335, -1.2169383040174622","54.9754693, -1.621873666214279",31.887772177146843
3127,Middlesbrough,Sheffield Wednesday,1–0,1999-00,Riverside Stadium,Hillsborough,"54.57831335, -1.2169383040174622","53.41137895, -1.500631103337827",81.53075920303974
3128,Middlesbrough,Southampton,3–2,1999-00,Riverside Stadium,St Mary's Stadium,"54.57831335, -1.2169383040174622","50.90582665, -1.390881661218431",254.0461031948454
3129,Middlesbrough,Sunderland,1–1,1999-00,Riverside Stadium,Stadium of Light,"54.57831335, -1.2169383040174622","54.914395299999995, -1.3882579326202478",24.236587445363337
3130,Middlesbrough,Tottenham Hotspur,2–1,1999-00,Riverside Stadium,Tottenham Hotspur Stadium,"54.57831335, -1.2169383040174622","51.604157, -0.0662604100000004",211.16309542349074
3131,Middlesbrough,Watford,1–1,1999-00,Riverside Stadium,Vicarage Road,"54.57831335, -1.2169383040174622","51.6501515, -0.4032259",205.2934304501516
3132,Middlesbrough,West Ham United,2–0,1999-00,Riverside Stadium,London Stadium,"54.57831335, -1.2169383040174622","51.53862065, -0.016623759002470637",216.0546081895209
3133,Middlesbrough,Wimbledon,0–0,1999-00,Riverside Stadium,Selhurst Park,"54.57831335, -1.2169383040174622","51.39824295, -0.085255058181276",224.90684112836493
3134,Newcastle United,Arsenal,4–2,1999-00,St James' Park,Emirates Stadium,"54.9754693, -1.621873666214279","51.55504035, -0.1083996708672374",244.6997741220001
3135,Newcastle United,Aston Villa,0–1,1999-00,St James' Park,Villa Park,"54.9754693, -1.621873666214279","52.5091264, -1.8850354312212985",170.90961542317442
3136,Newcastle United,Bradford City,2–0,1999-00,St James' Park,Valley Parade,"54.9754693, -1.621873666214279","53.804330449999995, -1.7593827869834464",81.19314966585306
3137,Newcastle United,Chelsea,0–1,1999-00,St James' Park,Stamford Bridge,"54.9754693, -1.621873666214279","51.481686499999995, -0.19103517666346065",248.77902371019547
3138,Newcastle United,Coventry City,2–0,1999-00,St James' Park,Coventry Building Society Arena,"54.9754693, -1.621873666214279","52.44816495, -1.4971183945757918",174.8590411739793
3139,Newcastle United,Derby County,2–0,1999-00,St James' Park,Pride Park Stadium,"54.9754693, -1.621873666214279","52.9149454, -1.4473191031335255",142.68574878238144
